,incorrect_image_paths,correct_image_paths,correct_identified_image_indicies,incorrect_image_indicies
142,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_33118_m_3311815_sw_11_060_20180723_000181.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/group_unreviewed_unverfied_images/chips_positive\la_60cm_2019_29090_m_2909002_nw_15_060_20190707_000181.jpg,1194,259
143,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29090_m_2909063_nw_15_060_20190830_000361.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/group_unreviewed_unverfied_images/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000361.jpg,584,99
144,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29090_m_2909063_nw_15_060_20190830_000337.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/group_unreviewed_unverfied_images/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000337.jpg,583,365
145,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_37122_m_3712205_ne_10_060_20180723_000237.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/group_unreviewed_unverfied_images/chips_positive\fl_60cm_2019_27082_m_2708205_sw_17_060_20191129_000246.jpg,1230,143
146,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29090_m_2909008_sw_15_060_20190707_000036.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/group_unreviewed_unverfied_images/chips_positive\la_60cm_2019_29089_m_2908901_sw_16_060_20190707_000037.jpg,502,321
147,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29090_m_2909008_sw_15_060_20190707_000085.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/group_unreviewed_unverfied_images/chips_positive\la_60cm_2019_29089_m_2908901_sw_16_060_20190707_000088.jpg,514,159
148,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_33118_m_3311815_sw_11_060_20180723_000080.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/group_unreviewed_unverfied_images/chips_positive\la_60cm_2019_29090_m_2909002_nw_15_060_20190707_000080.jpg,1191,400
149,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_37122_m_3712205_ne_10_060_20180723_000213.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/group_unreviewed_unverfied_images/chips_positive\fl_60cm_2019_27082_m_2708205_sw_17_060_20191129_000221.jpg,1228,130
150,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_37122_m_3712205_ne_10_060_20180723_000140.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/group_unreviewed_unverfied_images/chips_positive\fl_60cm_2019_27082_m_2708205_sw_17_060_20191129_000145.jpg,1220,132
151,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_33118_m_3311814_sw_11_060_20180723_000492.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/group_unreviewed_unverfied_images/chips_positive\la_60cm_2019_29090_m_2909006_nw_15_060_20190707_000492.jpg,1169,346
152,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29090_m_2909008_sw_15_060_20190707_000059.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/group_unreviewed_unverfied_images/chips_positive\la_60cm_2019_29089_m_2908901_sw_16_060_20190707_000061.jpg,505,352
153,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_33118_m_3311815_sw_11_060_20180723_000081.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/group_unreviewed_unverfied_images/chips_positive\la_60cm_2019_29090_m_2909002_nw_15_060_20190707_000081.jpg,1192,364
154,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29090_m_2909008_sw_15_060_20190707_000115.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/group_unreviewed_unverfied_images/chips_positive\la_60cm_2019_29089_m_2908901_sw_16_060_20190707_000119.jpg,525,315
155,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29090_m_2909008_sw_15_060_20190707_000072.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/group_unreviewed_unverfied_images/chips_positive\la_60cm_2019_29089_m_2908901_sw_16_060_20190707_000074.jpg,512,30
156,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29089_m_2908901_ne_16_060_20190707_000315.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\ms_060cm_2018_30088_m_3008845_nw_16_060_20181204_000315.jpg,307,152
157,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29089_m_2908901_ne_16_060_20190707_000319.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\ms_060cm_2018_30088_m_3008845_nw_16_060_20181204_000319.jpg,309,121
158,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29089_m_2908901_ne_16_060_20190707_000320.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\ms_060cm_2018_30088_m_3008845_nw_16_060_20181204_000320.jpg,310,466
159,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29089_m_2908901_ne_16_060_20190707_000173.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\ms_060cm_2018_30088_m_3008845_nw_16_060_20181204_000173.jpg,279,11
160,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29089_m_2908901_ne_16_060_20190707_000338.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\ms_060cm_2018_30088_m_3008845_nw_16_060_20181204_000338.jpg,312,142
161,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29089_m_2908901_ne_16_060_20190707_000339.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\ms_060cm_2018_30088_m_3008845_nw_16_060_20181204_000339.jpg,313,331
162,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_33118_m_3311814_se_11_060_20180723_000089.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\la_60cm_2019_30090_m_3009058_sw_15_060_20190831_000092.jpg,1120,13
163,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29089_m_2908901_ne_16_060_20190707_000290.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\ms_060cm_2018_30088_m_3008845_nw_16_060_20181204_000290.jpg,306,180
164,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29089_m_2908901_ne_16_060_20190707_000197.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\ms_060cm_2018_30088_m_3008845_nw_16_060_20181204_000197.jpg,284,109
165,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29089_m_2908901_ne_16_060_20190707_000241.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\ms_060cm_2018_30088_m_3008845_nw_16_060_20181204_000241.jpg,293,506
166,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_27082_m_2708212_ne_17_060_20191129_000356.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\ms_060cm_2018_30088_m_3008844_ne_16_060_20181204_000356.jpg,273,402
167,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_27082_m_2708212_ne_17_060_20191129_000133.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\ms_060cm_2018_30088_m_3008844_ne_16_060_20181204_000133.jpg,262,270
168,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29089_m_2908901_ne_16_060_20190707_000196.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\ms_060cm_2018_30088_m_3008845_nw_16_060_20181204_000196.jpg,283,312
169,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_33118_m_3311814_se_11_060_20180723_000064.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\la_60cm_2019_30090_m_3009058_sw_15_060_20190831_000066.jpg,1117,350
170,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29089_m_2908901_ne_16_060_20190707_000337.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\ms_060cm_2018_30088_m_3008845_nw_16_060_20181204_000337.jpg,311,272
171,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29089_m_2908901_ne_16_060_20190707_000221.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\ms_060cm_2018_30088_m_3008845_nw_16_060_20181204_000221.jpg,290,640
172,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_33118_m_3311814_se_11_060_20180723_000359.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\la_60cm_2019_30090_m_3009058_sw_15_060_20190831_000373.jpg,1139,356
173,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_33118_m_3311814_se_11_060_20180723_000259.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\la_60cm_2019_30090_m_3009058_sw_15_060_20190831_000269.jpg,1127,89
174,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_33118_m_3311814_se_11_060_20180723_000311.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\la_60cm_2019_30090_m_3009058_sw_15_060_20190831_000323.jpg,1133,624
175,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_33118_m_3311814_se_11_060_20180723_000459.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\la_60cm_2019_30090_m_3009058_sw_15_060_20190831_000477.jpg,1155,4
176,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29089_m_2908901_ne_16_060_20190707_000219.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\ms_060cm_2018_30088_m_3008845_nw_16_060_20181204_000219.jpg,288,22
177,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_33118_m_3311814_se_11_060_20180723_000436.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\la_60cm_2019_30090_m_3009058_sw_15_060_20190831_000453.jpg,1152,504
178,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_27082_m_2708212_ne_17_060_20191129_000212.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\ms_060cm_2018_30088_m_3008844_ne_16_060_20181204_000212.jpg,265,525
179,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29089_m_2908901_ne_16_060_20190707_000243.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\ms_060cm_2018_30088_m_3008845_nw_16_060_20181204_000243.jpg,294,153
180,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_33118_m_3311814_se_11_060_20180723_000484.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\la_60cm_2019_30090_m_3009058_sw_15_060_20190831_000503.jpg,1160,574
181,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_33118_m_3311814_se_11_060_20180723_000336.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\la_60cm_2019_30090_m_3009058_sw_15_060_20190831_000349.jpg,1136,259
182,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_33118_m_3311814_se_11_060_20180723_000460.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\la_60cm_2019_30090_m_3009058_sw_15_060_20190831_000478.jpg,1156,32
183,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_33118_m_3311814_se_11_060_20180723_000284.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\la_60cm_2019_30090_m_3009058_sw_15_060_20190831_000295.jpg,1130,298
184,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_33118_m_3311814_se_11_060_20180723_000164.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\la_60cm_2019_30090_m_3009058_sw_15_060_20190831_000170.jpg,1122,171
185,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_33118_m_3311814_se_11_060_20180723_000457.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\la_60cm_2019_30090_m_3009058_sw_15_060_20190831_000475.jpg,1153,600
186,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_33118_m_3311814_se_11_060_20180723_000434.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\la_60cm_2019_30090_m_3009058_sw_15_060_20190831_000451.jpg,1150,364
187,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_27082_m_2708212_ne_17_060_20191129_000475.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\ms_060cm_2018_30088_m_3008844_ne_16_060_20181204_000475.jpg,277,540
188,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_33118_m_3311814_se_11_060_20180723_000485.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\la_60cm_2019_30090_m_3009058_sw_15_060_20190831_000504.jpg,1161,120
189,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_33118_m_3311814_se_11_060_20180723_000310.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\la_60cm_2019_30090_m_3009058_sw_15_060_20190831_000322.jpg,1132,557
190,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_33118_m_3311814_se_11_060_20180723_000480.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\la_60cm_2019_30090_m_3009058_sw_15_060_20190831_000499.jpg,1157,586
191,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29089_m_2908901_ne_16_060_20190707_000193.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\ms_060cm_2018_30088_m_3008845_nw_16_060_20181204_000193.jpg,280,250
192,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_33118_m_3311814_se_11_060_20180723_000285.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\la_60cm_2019_30090_m_3009058_sw_15_060_20190831_000296.jpg,1131,443
193,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_27082_m_2708212_ne_17_060_20191129_000236.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\ms_060cm_2018_30088_m_3008844_ne_16_060_20181204_000236.jpg,267,455
194,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29089_m_2908901_ne_16_060_20190707_000244.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\ms_060cm_2018_30088_m_3008845_nw_16_060_20181204_000244.jpg,295,93
195,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_33118_m_3311814_se_11_060_20180723_000411.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\la_60cm_2019_30090_m_3009058_sw_15_060_20190831_000427.jpg,1148,572
196,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_33118_m_3311814_se_11_060_20180723_000334.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\la_60cm_2019_30090_m_3009058_sw_15_060_20190831_000347.jpg,1134,616
197,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_33118_m_3311814_se_11_060_20180723_000216.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\la_60cm_2019_30090_m_3009058_sw_15_060_20190831_000224.jpg,1123,45
198,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29089_m_2908901_ne_16_060_20190707_000217.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\ms_060cm_2018_30088_m_3008845_nw_16_060_20181204_000217.jpg,287,503
199,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_33118_m_3311814_se_11_060_20180723_000244.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\la_60cm_2019_30090_m_3009058_sw_15_060_20190831_000253.jpg,1126,30
200,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29089_m_2908901_ne_16_060_20190707_000195.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\ms_060cm_2018_30088_m_3008845_nw_16_060_20181204_000195.jpg,282,190
201,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_33118_m_3311814_se_11_060_20180723_000381.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\la_60cm_2019_30090_m_3009058_sw_15_060_20190831_000396.jpg,1143,68
202,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29089_m_2908901_ne_16_060_20190707_000340.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\ms_060cm_2018_30088_m_3008845_nw_16_060_20181204_000340.jpg,314,498
203,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_33118_m_3311814_se_11_060_20180723_000266.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\la_60cm_2019_30090_m_3009058_sw_15_060_20190831_000276.jpg,1129,320
204,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_33118_m_3311814_se_11_060_20180723_000357.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images1/chips_positive\la_60cm_2019_30090_m_3009058_sw_15_060_20190831_000371.jpg,1137,34
